Designator,Mid X,Mid Y,Rotation,Layer
C1,191.1824,-74.2318,90.0,top
C2,187.2358,-74.7522,0.0,top
C3,192.532,-65.7482,270.0,top
D1,183.261,-71.9075,90.0,top
J1,187.96,-79.5405,0.0,top
J2,196.342,-71.64,180.0,bottom
J3,179.578,-71.64,180.0,bottom
R1,183.261,-74.867,90.0,top
R2,184.7342,-74.867,90.0,top
R3,192.6556,-71.2602,270.0,top
R4,191.1824,-71.2602,270.0,top
R5,187.9854,-61.404,270.0,top
R6,184.7342,-71.8952,90.0,top
SW1,191.4128,-61.468,180.0,top
SW2,184.5258,-61.468,180.0,top
U1,187.96,-66.3956,270.0,top
U2,187.96,-72.1614,270.0,top
